type,name,path,issue
TEXTURE,Liam_Unwin_20260315_1852_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
SIZE,Liam_Unwin_20260315_1852_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_BaseColor,/Game/DropOff/2D,1.82 MB on disk (limit: 1.0 MB)
TEXTURE,Liam_Unwin_20260315_1850_3D_Mesh_Modular_Wall_BASIC_WALL_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1850_3D_Mesh_Modular_Wall_BASIC_WALL_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1850_3D_Mesh_Modular_Wall_BASIC_WALL_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1850_3D_Mesh_Modular_Wall_BASIC_WALL_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1850_3D_Mesh_Modular_Wall_BASIC_WALL_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Jacob_J_20260319_1130_3D_Mesh_Table_JacobJ_openPBR_shader1_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Jacob_J_20260319_1130_3D_Mesh_Table_JacobJ_openPBR_shader1_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
SIZE,Jacob_J_20260319_1130_3D_Mesh_Table_JacobJ_openPBR_shader1_BaseColor,/Game/DropOff/2D,1.29 MB on disk (limit: 1.0 MB)
TEXTURE,Jacob_J_20260319_1129_3D_Mesh_Stage_JacobJ_openPBR_shader1_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
SIZE,Jacob_J_20260319_1129_3D_Mesh_Stage_JacobJ_openPBR_shader1_Roughness,/Game/DropOff/2D,1.08 MB on disk (limit: 1.0 MB)
TEXTURE,Jacob_J_20260319_1129_3D_Mesh_Stage_JacobJ_openPBR_shader1_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
SIZE,Jacob_J_20260319_1129_3D_Mesh_Stage_JacobJ_openPBR_shader1_BaseColor,/Game/DropOff/2D,2.0 MB on disk (limit: 1.0 MB)
TEXTURE,joshua_kong_20260324_2214_Screenshot_2026-03-21_231047,/Game/DropOff/3D,2613x1601px (limit: 2048px)
SIZE,joshua_kong_20260324_2214_Screenshot_2026-03-21_231047,/Game/DropOff/3D,3.2 MB on disk (limit: 1.0 MB)
SIZE,joshuakong_20260324_2214_Screenshot_2026-03-20_182733,/Game/DropOff/3D,1.29 MB on disk (limit: 1.0 MB)
